epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,136.709,1.68705,1.68081,1.89609,0.80672,0.78975,0.8474,0.4932,1.47967,0.93775,1.81284,0.00990291,0.00330097,0.00990291,0.00330097,0.00990291,0.00330097,0.00990291,0.00330097
2,197.994,1.34019,0.91087,1.47206,0.71058,0.69482,0.7213,0.35559,1.72231,1.25417,1.94285,0.0197059,0.00656862,0.0197059,0.00656862,0.0197059,0.00656862,0.0197059,0.00656862
3,256.049,1.42976,1.05723,1.52671,0.32992,0.21258,0.18283,0.07336,2.60674,3.35292,3.22769,0.0293108,0.00977028,0.0293108,0.00977028,0.0293108,0.00977028,0.0293108,0.00977028
4,315.523,1.49611,1.15564,1.60406,0.76993,0.71054,0.75807,0.39061,1.63681,2.12165,2.12908,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,375.031,1.43356,1.05005,1.55035,0.79289,0.79378,0.81938,0.43598,1.58569,1.81903,1.98798,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,434.379,1.36904,0.95742,1.50601,0.7998,0.77712,0.82457,0.49302,1.45323,1.01443,1.78507,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,493.657,1.32072,0.88849,1.47427,0.71445,0.5463,0.60429,0.34355,1.6682,1.59615,1.93764,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,553.087,1.2975,0.86981,1.4607,0.86148,0.86721,0.90514,0.55794,1.31181,0.70831,1.68282,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,612.974,1.27317,0.8312,1.44692,0.84425,0.82761,0.87869,0.53404,1.37403,0.82195,1.71923,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,672.995,1.22908,0.78332,1.40825,0.8683,0.87549,0.91602,0.57538,1.30728,0.69156,1.6485,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,733.143,1.21553,0.77424,1.39952,0.85657,0.91147,0.91912,0.58887,1.23785,0.66851,1.63143,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,792.729,1.1843,0.74355,1.38147,0.86376,0.88468,0.92061,0.59856,1.25078,0.64533,1.6183,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,860.08,1.16558,0.72099,1.36822,0.88641,0.89989,0.92907,0.60841,1.23513,0.61401,1.6146,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,919.605,1.14616,0.70898,1.3614,0.88169,0.8975,0.92808,0.61338,1.21532,0.61377,1.5722,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,978.642,1.12842,0.68982,1.34288,0.8913,0.88818,0.93036,0.60268,1.19829,0.60339,1.62152,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1037.04,1.11013,0.66857,1.33169,0.89888,0.91555,0.94608,0.6319,1.18118,0.55258,1.56298,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1095.39,1.10085,0.66647,1.32983,0.90823,0.91076,0.94344,0.62797,1.16542,0.56994,1.60355,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1154.35,1.07364,0.63933,1.30786,0.90765,0.89871,0.93805,0.62961,1.17726,0.55471,1.60479,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1213.04,1.07165,0.63456,1.31137,0.89045,0.91367,0.93649,0.62693,1.1656,0.56534,1.61646,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1271.78,1.05297,0.61952,1.28735,0.91058,0.91339,0.9467,0.63361,1.15704,0.55123,1.51329,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1330.54,1.03389,0.6026,1.28037,0.89715,0.91497,0.94158,0.64053,1.14277,0.54037,1.561,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1389.55,1.03633,0.5975,1.28337,0.90691,0.92488,0.94631,0.64752,1.13811,0.53596,1.56157,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1447.94,1.01695,0.59424,1.26591,0.91302,0.91706,0.94566,0.6416,1.1478,0.52332,1.54969,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1506.68,1.00246,0.57365,1.26171,0.90037,0.9421,0.94961,0.64669,1.13852,0.52421,1.57592,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1565.46,1.00441,0.57285,1.26358,0.91571,0.91106,0.95004,0.6358,1.14841,0.52309,1.55911,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1623.97,0.97565,0.5529,1.24058,0.8933,0.93622,0.95381,0.65726,1.13293,0.51892,1.55504,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1682.32,0.96747,0.55144,1.23621,0.93558,0.90505,0.9568,0.65168,1.11837,0.51553,1.5506,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1740.79,0.97021,0.55345,1.23305,0.91283,0.93069,0.95008,0.65254,1.11529,0.51146,1.56571,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1799.56,0.94093,0.53161,1.2184,0.90352,0.93128,0.95657,0.65971,1.12271,0.5093,1.54071,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1858.1,0.94163,0.53198,1.21697,0.92339,0.91962,0.95518,0.66091,1.1282,0.50028,1.52636,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1916.98,0.93296,0.528,1.21617,0.91687,0.91613,0.95346,0.6526,1.13321,0.50141,1.5988,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1975.4,0.92235,0.51638,1.20414,0.91194,0.93485,0.95201,0.66711,1.11512,0.4959,1.57821,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2034.1,0.91634,0.51405,1.19767,0.91642,0.93244,0.95794,0.66609,1.12429,0.49234,1.53974,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2092,0.89835,0.50128,1.18585,0.92575,0.93361,0.96071,0.6705,1.09868,0.47919,1.57365,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2151.08,0.88871,0.48786,1.18288,0.919,0.94176,0.96403,0.6854,1.10482,0.4741,1.58815,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2210.02,0.88726,0.49218,1.18583,0.90736,0.93593,0.95923,0.67718,1.10875,0.4693,1.55929,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2268.28,0.87792,0.48262,1.18285,0.92444,0.92137,0.95622,0.67145,1.10688,0.47537,1.58362,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2330.98,0.86818,0.48578,1.17498,0.91854,0.92603,0.95635,0.6622,1.11393,0.48247,1.58064,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2389.97,0.85006,0.47164,1.1629,0.93594,0.91898,0.95373,0.65576,1.1079,0.4788,1.60229,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2449.36,0.85416,0.47336,1.16307,0.92357,0.93601,0.95776,0.67041,1.1041,0.48239,1.56901,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2508.41,0.84715,0.4718,1.15895,0.92451,0.93885,0.95952,0.6647,1.09481,0.47442,1.5929,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2566.91,0.84094,0.46554,1.15228,0.92947,0.921,0.95868,0.67449,1.09547,0.47666,1.57442,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2626.01,0.82464,0.45372,1.14143,0.93556,0.92079,0.95767,0.67482,1.0844,0.47027,1.58232,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2684.97,0.82077,0.45386,1.13466,0.93992,0.92254,0.96659,0.68496,1.09563,0.45972,1.55491,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2743.86,0.81429,0.44355,1.13252,0.9332,0.92756,0.963,0.68596,1.08388,0.45603,1.56932,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2802.75,0.80046,0.44124,1.12591,0.93061,0.91846,0.95772,0.67301,1.08201,0.47534,1.57765,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2861.41,0.80097,0.43996,1.12946,0.91933,0.93584,0.95949,0.68802,1.07791,0.47705,1.56528,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2920.09,0.78377,0.4312,1.1135,0.92019,0.92665,0.95508,0.66886,1.0897,0.47587,1.58901,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2979.11,0.78052,0.4276,1.11324,0.93569,0.91963,0.96013,0.68888,1.08987,0.46538,1.60697,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3038.2,0.77183,0.42324,1.10719,0.92005,0.92494,0.9605,0.68169,1.07946,0.46972,1.58574,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3097.14,0.76954,0.42093,1.10339,0.93118,0.92199,0.95993,0.68707,1.08064,0.46484,1.59897,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3155.78,0.76285,0.41547,1.10298,0.91486,0.93252,0.95815,0.69171,1.07277,0.46314,1.57331,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3214.58,0.75238,0.40738,1.09564,0.92734,0.9292,0.96083,0.69767,1.07341,0.46286,1.58789,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3273.49,0.73715,0.40654,1.08887,0.92685,0.93011,0.95691,0.68618,1.06134,0.46541,1.61492,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
